,cases_mean,cases_median,cases_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-07-20,3387.4837053222655,3309.4691162109375,792.3735004655292,2244.6858520507812,4817.725317382812,2063.3562072753907,5133.9067749023425,estimate
2020-07-21,3432.8571033935546,3346.7022705078125,818.1265401252293,2267.7313598632813,4895.073632812499,2127.9076660156247,5255.414013671873,estimate
2020-07-22,3428.1517372436524,3348.4549560546875,825.4589378836392,2237.268933105469,4927.992993164062,2074.6911376953126,5276.194812011713,estimate
2020-07-23,3468.586025146484,3388.0194091796875,839.8968894510532,2235.2230224609375,4940.225097656249,2081.525360107422,5341.338024902343,estimate
2020-07-24,3508.6598643188477,3395.1519775390625,865.4925507823443,2280.6843872070312,5082.793383789062,2104.979528808594,5482.344287109375,estimate
2020-07-25,3551.868228149414,3449.943603515625,885.7940719612245,2315.4168090820312,5174.929833984375,2112.499591064453,5576.234741210934,estimate
2020-07-26,3737.7079169921876,3610.5645751953125,899.5948741757015,2468.6245849609377,5378.21904296875,2290.7793457031253,5852.839501953125,estimate
2020-07-27,3923.238603881836,3815.2718505859375,893.3705252051889,2660.8557617187503,5509.885278320313,2506.084606933594,5913.885803222655,estimate
2020-07-28,3878.5724622192383,3782.6787109375,908.7879336829606,2611.327319335938,5522.3673095703125,2433.3839721679688,5962.374902343749,estimate
2020-07-29,3836.165045471191,3714.8819580078125,924.3965557501949,2516.8490600585938,5478.4541015625,2362.146484375,5894.907702636716,estimate
2020-07-30,3803.1020609741213,3689.449951171875,905.0054806618535,2502.387487792969,5471.9012451171875,2327.9223815917967,5838.684533691406,estimate
2020-07-31,3859.8120637817383,3743.205078125,878.8674164271677,2602.1815795898438,5465.903002929687,2418.7471496582034,5939.526000976562,estimate
2020-08-01,3906.995478942871,3806.6124267578125,845.9065511472244,2725.7386474609375,5492.2576904296875,2554.401483154297,5848.00352783203,estimate
2020-08-02,3828.3458428955078,3757.8592529296875,828.4094217959743,2641.574926757812,5325.528442382812,2464.244274902344,5677.960180664061,estimate
2020-08-03,3811.0407091674806,3740.550537109375,802.2003095761593,2616.126696777344,5217.206469726562,2456.2270629882814,5583.435900878905,estimate
2020-08-04,3732.1312094726563,3654.414794921875,787.6094394353967,2575.5623168945312,5134.542578125,2414.5064086914062,5468.807971191405,estimate
2020-08-05,3689.592745239258,3640.2742919921875,801.9462301813857,2506.6130859375003,5082.901171875,2349.503454589844,5364.739794921875,estimate
2020-08-06,3686.3483381347655,3618.5037841796875,806.236485947758,2476.019189453125,5106.112719726562,2300.1324829101563,5452.202465820311,estimate
2020-08-07,3724.082248596191,3642.6888427734375,827.358213429981,2521.574462890625,5254.139477539063,2328.167028808594,5581.122668457031,estimate
2020-08-08,3763.7233572387695,3649.2508544921875,846.2248063080771,2547.6453369140627,5320.238354492188,2381.805377197266,5682.068737792966,estimate
2020-08-09,3866.14236517334,3796.65576171875,847.0920218278527,2635.873889160156,5421.239453125,2436.475762939453,5735.5130737304635,estimate
